Title,Date,End,Description,Media,Place,Location,Location_Original,Source,Source URL
Bunker Hill Mining Company in Idaho announces policy of sterilization for women working in its lead smelter,14/04/1975,,"<p>On April 14, 1975, the Bunker Hill Mining Company in Kellogg, Idaho announced a new policy in response to worries about female workers suffering reproductive problems due to lead exposure. The company decided to require sterilization of all women working in its smelter. This was a landmark moment in the history of women working in dangerous labor, particularly in traditionally all-male industries like mining. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/04/day-labor-history-april-14-1975"">Read whole article</a></p>",,"Kellogg, Idaho","47.5382349,-116.1188875",,,
Works Progress Administration created.,06/05/1935,,"<p>On May 6, 1935, President Franklin Delano Roosevelt issued Executive Order 7034 creating the Works Progress Administration (WPA). Passed and funded by Congress in the Emergency Relief Appropriations Act of 1935, the WPA became among the two most important federal jobs programs of the New Deal and a model for how government investment in the economy can not only solve short-term unemployment problems but also build the infrastructure of a strong, modern nation. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/05/day-labor-history-may-6-1935"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/05/WPA_Main_Image1.jpg,,#N/A,,,
Hard Hat Riot,08/05/1970,,"<p>On May 8, 1970, 200 unionized construction workers attacked an anti-war march in the wake of the Kent State shooting a few days before. The so-called Hard Hat Riot placed an image in the American mind of right-wing workers opposed to social justice that sadly remains far too prevalent today.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/05/day-labor-history-may-8-1970"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/05/hardhat.jpg,New York City,"40.7127281,-74.0060152",,,
"Completion of Transcontinental Railroad, treatment of Chinese workers",10/05/1869,,"<p>While the Union Pacific relied largely on Irish labor, the Central Pacfiic hired mostly Chinese laborers to build the railroad. There were certain dangers with all railroad construction and the UP did build across the territory of still pretty powerful Native American tribes, but the land itself was slowly rising and without major physical obstacles in the way. On the other hand, the CP had to build across the Sierra Nevada and then through the difficult terrain of Nevada. It was going over the Sierra that tells the most compelling labor history of the Transcontinental Railroad. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/05/day-labor-history-may-10-1869"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/05/railroad_laborers_news.jpg,"Promontory Point, Utah","37.471393,-112.2258853",,,
Coolidge signs Immigration Act of 1924,26/05/1924,,"<p>On May 26, 1924, the doors of the United States closed to most immigrants as President Calvin Coolidge signed the Immigration Act of 1924. The law set the yearly quota for a nation’s population to immigrate to the U.S. at 2% of its U.S. population in the 1890 census. Beginning in 1927, immigration would then decline even further, to 150,000 total. This law put an end to the immigrant flows to the U.S. that had provided the labor force for the nation’s stupendous industrial growth in the late nineteenth and early twentieth centuries. It also demonstrates the great discomfort many Americans had with the diversity that became a byproduct of the need for such an expanding labor force. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/05/day-labor-history-may-26-1924"">Read whole article</a></p>",,,#N/A,,,
Normal Rockwell publishes Rosie the Riveter cover in Saturday Evening Post,29/05/1943,,"<p>On May 29, 1943, Norman Rockwell published a cover in the<em> Saturday Evening Post</em> of a woman working an industrial job. This cover represented the millions of women entering the workforce during World War II to build the material needed to defeat the Axis. This image was part of a larger cultural phenomena referring to these women workers as Rosie the Riveter. Rosie the Riveter may not have been a real woman, but she does open an entry way to talk about a key point in American labor history: women and work in World War II.  </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/05/day-labor-history-may-29-1943"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/05/8d39781r.jpg,,#N/A,,,
"Celia, a slave, kills her master when he attempts to rape her",23/06/1855,,"<p>On June 23, 1855, a 19 year old slave woman named Celia murdered her master rather than allow him to rape her. She then attempted to burn his body, nearly succeeding in erasing all traces of the crime. She was arrested, convicted, and executed. This story gets at both the inhumanity of slavery and the sexual labor forced upon millions of African and African-American women during two centuries of chattel slavery in the United States. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/06/day-labor-history-june-23-1855"">Read whole article</a></p>",,Missouri,"38.7604815,-92.5617875",,,
FDR signs Fair Labor Standards Act,25/06/1938,,"<p>On June 25, 1938, President Franklin Delano Roosevelt signed the Fair Labor Standards Act. This groundbreaking piece of legislation, while flawed as almost all progressive legislation must be to pass Congress, set the standards of labor that defined post-war America, including minimum wages, overtime pay, and the banning of most child labor.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/06/day-labor-history-june-25-1938"">Read whole article</a></p>",,,#N/A,,,
IWW founded,27/06/1905,,"<p>On June 27, 1905, at a convention in Chicago, the Industrial Workers of the World was founded. The IWW would play a major role in the industrial warfare of the early twentieth century, scare the employer class, and capture the imaginations of late 20th century and early 21st century radicals. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/06/day-labor-history-june-27-1905"">Read whole article</a></p>",,"Chicago, IL","41.8755616,-87.6244212",,,
"Phelps-Dodge strike starts in Clifton-Morenci, Arizona, massive union-busting by copper company",30/06/1983,,"<p>On June 30, 1983, workers at the Phelps-Dodge Corporation copper mines in Arizona went on strike. Led by the United Steelworkers of America, miners fought bravely against Phelps-Dodge’s decision to bust their union, but faced with overwhelming odds, they lost the strike, bringing in the heyday of corporations busting the unions and moving aggressively toward a completely non-union workplace. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/06/day-labor-history-june-30-1983"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2014/06/copper_strike_morenci_clifford_arizona_2_-596x361.jpg,"Morenci, Arizona","33.0512895,-109.3259809",,,
FDR signs National Labor Relations Act,05/07/1935,,"<p>On July 5, 1935, President Franklin Delano Roosevelt signed the National Labor Relations Act. This groundbreaking piece of legislation revolutionized the relationship between the federal government and organized labor and gave workers a fair shake from the government for the first time in American history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/07/day-labor-history-july-5-1935"">Read whole article</a></p>",,,#N/A,,,
"Southern Tenant Farmers Union forms in Tyronza, Arkansas",11/07/1934,,"<p>On July 11, 1934, the Southern Tenant Farmers Union formed when eleven white farmers and seven black farmers met in Tyronza, Arkansas to form a union of sharecroppers to fight for poor farmers’ rights. Perhaps the last gasp of the Farmers Alliance potential to reach out across racial lines and transform rural life, the STFU sought to empower sharecroppers to fight for economic rights during the dark days of the Great Depression. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/07/day-labor-history-july-11-1934"">Read whole article</a></p>",,"Tyronza, Arkansas","35.4900827,-90.358711",,,
Watertown Arsenal workers strike over Taylorism,11/08/1911,,"<p>On August 11, 1911, workers at the Watertown Arsenal in Watertown, Massachusetts walked off the job as the scientific management ideas of Frederick Winslow Taylor began to be applied to their work. This resistance of corporate micromanagement of work was a last ditch attempt by American industrial workers to remain masters of their own labor, even within the factory system that had already degraded their skills and independence. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/08/day-labor-history-august-11-1911"">Read whole article</a></p>",,"Watertown, Massachusetts","42.3709299,-71.1828321",,,
United States Commission on Industrial Relations formed,23/08/1912,,"<p>On August 23, 1912, the United States Commission on Industrial Relations was founded. One of the most remarkable moments in American labor history, the USCIR (more popularly known as the Walsh Committee) forced industrial leaders to testify about the conditions of American labor in front of a government committee. For the first time in the nation’s history, the plutocrats, long used to running their operations without responsibility, were called onto the carpet in front of directly hostile committee members for their actions. While the USCIR did not create specific reform bills, it did signify a changing tone in American labor and American society in general that took power away from the plutocrats and created government responsibility for the conditions of American workers. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/08/day-labor-history-august-23-1912"">Read whole article</a></p>",,,#N/A,,,
Eisenhower signs Landrum-Griffin Act,14/09/1959,,"<p>On September 14, 1959, President Dwight Eisenhower signed the Landrum-Griffin Act after actively lobbying for its passage. Officially known as the Labor Management Reporting and Disclosure Act, Landrum-Griffin used union corruption as an excuse for a broad-based attack upon organized labor on issues completely unrelated to corruption. The passage of this bill was another major blow to organized labor in the early years of the Cold War that moved power away from unions and back to corporations. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/09/day-labor-history-september-14-1959"">Read whole article</a></p>",,,#N/A,,,
Lincoln issues Emancipation Proclamation,22/09/1862,,"<p>On September 22, 1862, President Abraham Lincoln issued the Emancipation Proclamation, which declared slaves in all parts of the U.S. in rebellion free on January 1, 1863 if they did not rejoin the United States. While not a complete abolition of slavery, the Emancipation Proclamation signaled slavery’s death knell and is one of the most important presidential acts in U.S. history. It also made taking away the labor system that led the South to secede from the Union away from its leaders, undermining the economic stability of an already beleaguered rebellion. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/09/day-labor-history-september-22-1862"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/09/14disunion-img-blog427.jpg,,#N/A,,,
Richard Nixon announces Philadelphia Plan to desegregate construction industry,23/09/1969,,"<p>On September 23, 1969, President Richard Nixon issued the Philadelphia Plan, forcing building trades unions to allow black members into their ranks. Nixon did this believing that it would show him as a strong civil rights president without having to do very much to give in to the more radical demands of the civil rights movement. More importantly to Nixon, he saw it as a way to undercut organized labor, creating a coalition of African-Americans and Republicans against racist unions. Opponents of the new principle of affirmative action immediately sued to kill the new policy, but the Third Circuit Court of Appeals ruled in its favor in 1971 and the Supreme Court rejected the appeal. Affirmative action was introduced into federal hiring practices for the first time. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/09/day-labor-history-september-23-1969"">Read whole article</a></p>",,,#N/A,,,
Henry George accepts United Labor Party nomination for mayor of New York,05/10/1886,,"<p>On October 5, 1886, Henry George accepted the nomination of the United Labor Party for the mayor of New York City. Although a quixotic effort, both labor’s attempt to create an alternative to the two party system and the reformist ideas of Henry George were emblematic of how Americans attempted to understand the shock of industrial capitalism during the Gilded Age. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/10/day-labor-history-october-5-1886"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/10/cartoon_george-henry_fighting-corruption-1886.jpg,New York City,"40.7127281,-74.0060152",,,
John L. Lewis punches Carpenters president Big Bill Hutcheson on the floor of the AFL Convention.,19/10/1935,,"<p>On October 19, 1935, the American Federation of Labor was holding its convention in Atlantic City. While usually a staid affair, this convention was rocked by a fight on stage between United Mine Workers of American president John L. Lewis and United Brotherhood of Carpenters president Big Bill Hutcheson. This incident and the lead-up to it helped cement the withdrawal of the UMWA from the AFL and the creation of the CIO as an industrial alternative to the AFL’s craft unionism. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/10/day-labor-history-october-19-1935"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/10/John-L-Lewis_1936.jpg,"Atlantic City, NJ","39.3642852,-74.4229351",,,
Donora Fog,27/10/1948,,"<p>On October 27, 1948, an air inversion trapped the pollution spewed out by U.S. Steel-owned factories in Donora, Pennsylvania. The Donora Fog killed 20 people and sickened 6000 others. This event was one of the most important toxic events in the postwar period that sparked the rise of the environmental movement and groundbreaking legislation to protect Americans from the worst impacts of industrialization. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/10/day-labor-history-october-27-1948"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/10/DonoraSmokeStacks.jpg,"Donora, Pennsylvania","40.1734049,-79.8575467",,,
Invention of cotton gin.,28/10/1793,,"<p>On October 28, 1793, Eli Whitney submitted a patent for his invention known as the cotton gin. Perhaps more than any technology in American history, this invention profoundly revolutionized American labor. Creating the modern cotton industry meant the transition from agricultural to industrial labor in the North with the rise of the factory system and the rapid expansion and intensification of slavery in the South to produce the cotton. The cotton gin went far to create the 19th century American economy and sharpened the divides between work and labor between regions of the United States, problems that would eventually lead to the Civil War. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/10/day-labor-history-october-28-1793"">Read whole article</a></p>",,,#N/A,,,
Spokane free speech fight begins.,02/11/1909,,"<p>On November 2, 1909, the Industrial Workers of the World called a free speech strike in Spokane, Washington. The free speech movements would highlight what the IWW did well and where is struggled, as the organization exposed the hypocrisy and brutality of Gilded Age capitalism and exposed to the nation the terrible lives of working people while at the same time failing to build on a major early victory when it won this battle. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/11/day-labor-history"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/11/anit-IWW-cartoon-from-Spokane-Spokesman-Review-1909.jpg,"Spokane, Washington.","47.6579425,-117.4212265",,,
Mississippi institutes its Black Code,25/11/1865,,"<p>The impact of slavery’s end is hard to overestimate. But the <a href=""http://lawyersgunsmon.wpengine.com/2014/09/day-labor-history-september-22-1862"">Emancipation Proclamation</a> did not free any slaves immediately and the ratification of the 13th Amendment did not take place until well after the war’s end. The federal government was woefully unprepared, both in manpower and ideas, for ensuring that the rights of ex-slaves were respected after the war. Sure, slavery might be effectively dead as of April 14, 1865, when Robert E. Lee surrendered to Ulysses S. Grant at Appomattox Court House, but was the U.S. military there to enforce freedom on the plantations? Largely, no. The immediate months after the war were filled with violence as whites killed newly freed people in the countryside, especially as they began to flee for cities like Memphis and New Orleans. For cotton planters, this black flight was a real threat. They prospered on owning black labor. If they couldn’t own that labor, planters at least needed to keep it on the land to pick the cotton that might allow them to rebuild their economic base. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/11/day-labor-history-november-25-1865"">Read whole article</a></p>",,,#N/A,,,
"Union Carbide plant leak at Bhopal, India",02/12/1984,,"<p>On December 2, 1984, a gas leak in a Union Carbide chemical plant in Bhopal, India killed somewhere between 3787 and 16,000 people. Perhaps the worst industrial disaster in world history, the Bhopal disaster shows the criminal negligence by which American corporations treat people of the developing world and why corporate leaders choose to site production facilities in poor parts of the world. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/12/64606"">Read whole article</a></p>",,,#N/A,,,
Alabama repeals child labor law to attract New England textile factories.,05/12/1894,,"<p>On December 5, 1894, Alabama repealed its child labor law in order to convince the officials of the Dwight Manufacturing Company, a textile corporation, to move its mill operations from Chicopee, Massachusetts to its state. Dwight did this, settling in Gadsden. This incident is both an early incident in the history of capital mobility, a phenomenon that plagues workers today, and also shines a light into how the apparel industry was a pioneer in breaking labor resistance through simply closing up and moving operations to a non-union state. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/12/day-labor-history-december-5-1894"">Read whole article</a></p>",,,#N/A,,,
"Italian Hall disaster in Calumet, Michigan",24/12/1913,,"<p>On December 24, 1913, striking Italian copper workers in Calumet, Michigan were holding their Christmas party in the town’s crowded Italian Hall building. Someone shouted “fire.” Could have been company thugs, but we will never know. In the ensuing panic, people rushed the exit and 73 died, including 59 children. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/12/day-labor-history-december-24-1913"">Read whole article</a></p>",,,#N/A,,,
Henry Ford announces $5 day for workers who lived a lifestyle of which he personally approved,05/01/1914,,"<p>On January 5, 1914, Henry Ford announced his famous $5 a day wage to his workers. Ford is often lauded for his efforts here and he was surely forward-thinking in creating this salary. But this post will also challenge his reputation as a good employer, for Ford expected plenty in return from those employees, far more than any employee should have to accept. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/01/day-labor-history-january-5-1914"">Read whole article</a></p>",,,#N/A,,,
End of the International Nestle Boycott,25/01/1984,,"<p><em>This is a guest post by Paul Adler, lecturer at the Harvard History and Literature program. He received his PhD in history from Georgetown University in 2014. Paul’s dissertation, Planetary Citizens: U.S. NGOs and the Politics of International Development in the Late Twentieth Century examines efforts by U.S. groups like INFACT and the Sierra Club to influence international institutions like Nestle and the World Bank during the 1970s and 1980s. Previous to graduate school, Paul worked for several years on global justice issues at Public Citizen’s Global Trade Watch.</em></p><p>On January 25, 1984, William Thompson, a leader with the International Nestle Boycott Committee (INBC) met with Nestlé executive Carl Angst in New York City. There, the two men announced a surprise: after seven years of a global boycott of Nestlé, U.S. organizers were suspending this effort in light of new Nestlé initiatives intended to address activists’ critiques. Ending ten months later, the Nestlé boycott set important precedents for liberal and left-wing activists in challenging multinational corporate power. However, the memory of the campaign as a great success does not stand well against close scrutiny.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/01/day-labor-history-january-25-1984"">Read whole article</a></p>",,,#N/A,,,
"Treaty of Guadalupe Hidalgo signed, fate of New Mexican land grant labor",02/02/1848,,"<p>On February 2, 1848, the United States and Mexico signed the Treaty of Guadalupe Hidalgo, ending the war the U.S. launched against Mexico to steal land and extend slavery. Mexico was forced to cede the northern half of the nation to the United States. That would have enormous implications of the lives and the work cultures of the Spanish-speaking people who lived there. This post considers that issue with the farmers of northern New Mexico. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/02/day-labor-history-february-2-1848"">Read whole article</a></p>",,,#N/A,,,
"Kate Mullaney and Collar Laundry Union go on strike in Troy, New York",23/02/1864,,"<p>Women working in commercial laundries faced the terrible working conditions that were becoming so common as the nation industrialized in the mid-19th century. They worked 12-14 hour days in extraordinarily hot workplaces. The Collar Laundry Union workers labored specifically with collars. This required the use of harsh, caustic chemicals and boiling water. Workers frequently suffered severe burns. Like in the rest of American work in the second half of the 19th century, rapid technological advancements came at the price of worker safety. In this case, it was new starching machines that were known for causing horrific burns for workers. Of course, <a href=""http://lawyersgunsmon.wpengine.com/2013/10/this-day-in-labor-history-october-30-1837"">companies were not held responsible for workers getting hurt or dying on the job</a>. The pay for this labor: $3 a week. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/02/day-labor-history-february-23-1864"">Read whole article</a></p>",,,#N/A,,,
Muller v. Oregon decided,24/02/1908,,"<p>On February 24, 1908, the Supreme Court issued its decision in <em>Muller</em> v. <em>Oregon</em>. This landmark decision upheld the idea that, at least for women, laws restricting the hours of work were constitutional. This would be a major victory in the long fight to bring working hours down to eight hours nationally, a dream that had already extended for more than two decades and would not be realized for another thirty years. It also created gender inequities in labor law with implications that continue today. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/02/day-labor-history-february-24-1908"">Read whole article</a></p>",,,#N/A,,,
Knights of Labor begin Great Southwestern Strike against Jay Gould’s railroads,06/03/1886,,"<p>The widely and publicly loathed Jay Gould was one of the leading railroad capitalists and financiers in the United States and he had invested heavily in the massive expansion of railroads into the southwest after the Civil War. This rapid expansion gave workers some level of power and for awhile they achieved good wages. But Gould’s managers consistently sought to cut costs and gain power over workers they thought far too independent. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/03/day-labor-history-march-6-1886"">Read whole article</a></p>",,"Philadelphia, Pennsylvani","39.9527237,-75.1635262",,,
New York Times first reports Radium Girls story.,10/03/1925,,"<p>On March 10, 1925, the New York Times first reported the story of the so-called Radium Girls, as U.S.  Radium Company employee Marguerite Carlough had sued her employer for $75,000 for the horrific health problems caused by her work with radium that would soon kill her. The story would garner national headlines and would demonstrate both the awfulness of working conditions in the early 20th century and the failures of the workers’ compensation system to deal with health problems caused by poisonous work. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/03/day-labor-history-march-10-1925"">Read whole article</a></p>",,,#N/A,,,
Paris Commune begins,18/03/1871,,"<p>On March 18, 1871, the French military attacked the worker movement in Paris with the aim of retaking the city for the nation’s government. Workers foiled the military’s invasion and ten days later they formed the Paris Commune. This socialist workers movement controlled Paris for two months and was the first revolutionary challenge to European government in the industrial age (which 1789 really was not in France). It would start the long tradition of revolutionary movements based upon working-class radicalism that would help to define the next century around the world. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/03/this-day-in-labor-history-march-18-1871"">Read whole article</a></p>",,,#N/A,,,
Mother Jones arrested supporting Colorado coal strike.,22/03/1914,,"<p>On March 22, 1914, Mary “Mother” Jones was arrested on a train in southern Colorado for her work in fighting for the coal miners on strike that area. This was her second arrest in this conflict, as she had previously been detained by the state militia in Trinidad and then sent to Denver. Upon release in Denver, she immediately went back to the coal fields, daring the mine owners and their bought police forces to arrest her again. Her work here was typical of the sacrifices this iconic organizer made in the second half of her life as she fought for the miners so badly exploited in late nineteenth and early twentieth century America. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/03/this-day-in-labor-history-march-23-1914"">Read whole article</a></p>",,,#N/A,,,
"Mine explosion in Centralia, IL kills 111 workers.",25/03/1947,,"<p>On March 25, 1947, the Centralia Coal Company’s No. 5 mine in Centralia, Illinois exploded, killing 111 workers. This disaster, caused by extremely unsafe working conditions from employers utterly indifferent to the lives of their workers, helped move forward, however slowly, the nation’s push toward safer working conditions in coal mines. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/03/this-day-in-labor-history-march-25-1947"">Read whole article</a></p>",,,#N/A,,,
"AFSCME goes on strike in Atlanta, crushed by mayor Maynard Jackson",28/03/1977,,"<p>On March 28, 1977, AFSCME Local 1644, a union primarily made of African-American sanitation workers, went on strike in Atlanta, hoping to force mayor Maynard Jackson to grant them a much needed pay raise. Jackson’s anti-union positions would deeply disappoint organized labor who believed that labor rights were civil rights. It would also demonstrated the willingness of many civil rights leaders to turn their backs on the needs of the poorest workers when they reached positions of authority. Finally, the failure of this strike showed that just electing supposedly progressive people to positions for power would not be a panacea for working class people. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/03/this-day-in-labor-history-march-28-1977"">Read whole article</a></p>",,,#N/A,,,
Workers Rights Consortium founded in New York,07/04/2000,,"<p>On April 7, 2000, the Workers’ Rights Consortium formed at a New York conference. This apparel industry monitoring organization developed in response to the anti-sweatshop movement of the 1990s and still exists today, trying to bring attention in the United States to the plight of foreign workers making apparel for our colleges and universities. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/04/this-day-in-labor-history-april-7-2000"">Read whole article</a></p>",,,#N/A,,,
Supreme Court decided Lochner v. New York,17/04/1905,,"<p>On April 17, 1905, the Supreme Court, led by Chief Justice Melville Fuller, decided the <em>Lochner</em> v. <em>New York </em>case, overturning a New York law limiting the hours bakers could work to sixty a week. This landmark case gave official SCOTUS sanction to the idea of free contract between employer and employee. Calling such laws, “unreasonable, unnecessary and arbitrary interference with the right and liberty of the individual to contract,” the Court effectively ruled that corporations have full rights to set any conditions of employment they chose. This classic statement of the Gilded Age has inspired conservatives and outraged liberals ever since. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/04/this-day-in-labor-history-april-17-1905"">Read whole article</a></p>",,,#N/A,,,
Franklin Delano Roosevelt creates Tennessee Valley Authority,18/05/1933,,"<p>On May 18, 1933, President Franklin Delano Roosevelt created the Tennessee Valley Authority as a centerpiece to his New Deal. The TVA would have both short and long-term impacts on the nation’s labor history, ultimately going far to transforming an entire region of the nation, providing the raw materials and industrial capacity necessary to become a major site of American production after World War II. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/05/this-day-in-labor-history-may-18-1933"">Read whole article</a></p>",,,#N/A,,,
Poor Person’s March starts its camp construction in Washington DC.,21/05/1968,,"<p>By 1967, Martin Luther King had largely broken with the Johnson administration, first on Vietnam and then on the War on Poverty. With Johnson now consumed by the war, the War on Poverty staggered. King, deeply affected by his Chicago urban housing campaign of 1966, saw the common interests of the poor across the nation and wanted to transition into combining the civil rights and poverty movements. In doing so, he continued distancing himself from much of the rest of the middle-class minister-led wing of the civil rights movement that largely saw their goal post-1965 as consolidating their recent legal gains and working with the president who had pushed for those laws. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/05/this-day-in-labor-history-may-21-1968"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2015/05/Poor_Peoples_March_at_Lafayette_Park_ppmsca.04302.jpg,,#N/A,,,
"Cananea Strike in Mexico, prelude to Mexican Revolution",01/06/1906,,"<p>On June 1, 1906, copper miners in the city of Cananea, Sonora, a few miles south of the U.S.-Mexico border, went on strike against the American companies dominating the mines and Porfirian Mexico. Widely seen as one of the most important events influencing the start of the Mexican Revolution in 1910, the Cananea strike is also one of the most important events in Mexican labor history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/06/this-day-in-labor-history-june-1-1906"">Read whole article</a></p>",,,#N/A,,,
Los Angeles police beat SEIU members in Justice for Janitors march,15/06/1990,,"<p>On June 15, 1990, 400 striking janitors in Los Angeles who had organized with the Service Employees International Union (SEIU) and were trying to secure a contract with International Service Systems (ISS), who had the contract to clean many of the city’s downtown office buildings, were beaten by police as they attempted to cross a street. Around 90 strikers were wounded and 38 were arrested. This event galvanized support for the janitors and is an important event both in the history of Latino labor in the United States and the growth of SEIU into arguably the most powerful union in the United States during the early 21st century. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/06/this-day-in-labor-history-june-15-1990"">Read whole article</a></p>",,,#N/A,,,
CIA-led Guatemalan coup against Jacobo Arbenz begins with AFL support,18/06/1954,,"<p>On June 18, 1954, the CIA-trained coup against democratically elected Guatemalan president Jacobo Árbenz began, an event that crushed Guatemalan labor, happened with the complicity of the American labor movement, and significantly destabilized Guatemala, helping to create the violence that afflicts that nation and the large-scale undocumented migration to the United States today.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/06/this-day-in-labor-history-june-18-1954"">Read whole article</a></p>",,,#N/A,,,
Herrin Massacre,22/06/1922,,"<p>On June 22, 1922, a night and early morning of angry United Mine Workers of America members massacring strikebreakers and mine guards ended in Herrin, Illinois. Twenty-one people died, 19 of which were the strikebreakers and guards. This spasm of violence is a rare example of American labor history where workers killed more people than the forces of order. It’s also a sign of the desperation and anger of coal miners by the 1920s over the terrible treatment of themselves and their unions. Finally, the UMWA strategy of avoiding blame for this incident by blaming nonexistent communists for leading the mob proved a pioneering incident of a long history of American organized labor redbaiting. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/06/this-day-in-labor-history-june-19-1937"">Read whole article</a></p>",,,#N/A,,,
"Supreme Court decides Industrial Union Department AFL-CIO v. American Petroleum Institute, limiting OSHA workplace health program ",02/07/1980,,"<p>On July 2, 1980, the Supreme Court ruled in <em>Industrial Union Department AFL-CIO</em> v. <em>American Petroleum Institute</em> that the Occupational Safety and Health Administration must take economic considerations into account when issuing regulations. This 5-4 decision severely impacted the ability of the government to take an aggressive and preemptive stand against workplace health problems. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/07/this-day-in-labor-history-july-2-1980"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2015/07/hazard.jpg,,#N/A,,,
International Labor Organization passes Freedom of Association Convention. U.S. never ratifies it.,09/07/1948,,"<p>On July 9, 1948, the International Labour Organization signed The Freedom of Association and Protection of the Right to Organise Convention. Unfortunately, the United States Senate never ratified it, showing the difficulty international standards, labor and otherwise, have always had in becoming law in the United States and the damage that can do for the effectiveness of these agreements. It also suggests just how limited labor rights really are in the United States compared to much of the world. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/07/this-day-in-labor-history-july-9-1948"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2015/07/ilo-logo.jpg,,#N/A,,,
Steelworkers Strike of 1959 begins,15/07/1959,,"<p>On July 15, 1959, the United Steelworkers of America went on strike to protect its significant victories won after World War II in running the shop floor and empowering its members to live a middle-class lifestyle. Perhaps the most underrated event in American labor history, the steel strike of 1959 touches on many of the key labor issues of the postwar period. Combining the total number workers and length of the strike, companies lost more employee hours than any other strike in American history. It showed the height of worker power in American labor history on the shop floor and through the contract. It also demonstrated how government would still bust strikes when it could, a blast from the past and a foretaste of the future. Yet it also suggested just how far unions had come in American society, given how the USWA overcame these challenges and won. Finally, this was the end of the peak of American labor militancy.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/07/this-day-in-labor-history-july-15-1959"">Read whole article</a></p>",,,#N/A,,,
